id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround,Runs,Ave,HS,BF,SR,Mat,Inns,100,Wkts,Econ,BBI,4,5,span,matches_odi_batting,innings_odi_batting,not_out,runs_odi_batting,high_score,average_score_odi_batting,ball_faced,strike_rate_odi_batting,100s_odi_batting,50_odi_batting,0s,4s,6s,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk,Country,Date_Of_Birth
935995,Afif Hossain,25,allrounder,left-hand bat,right-arm offbreak,22.0,19.0,495.0,35.35,90.65,0.0,3.0,3.0,22.66,4.97,27.3,35.35,22.66,3.0,,,,,,,,,,,,,,2020-2022,22.0,19.0,5.0,495.0,93*,35.35,546.0,90.65,0.0,3.0,2.0,45.0,7.0,2020-2022,Jan-00,Jan-00,,22.66,4.97,27.3,68.0,0.0,0.0,8.0,1.0,22.0,13.4,,0.0,3.0,Bangladesh,22/09/1999
380354,Anamul Haque,25,wicketkeeper batter,right-hand bat,,44.0,41.0,1254.0,30.58,74.15,3.0,3.0,,,,,30.58,,,1052.0,,120,1488.0,,38.0,35.0,3.0,,,,,,2012-2022,44.0,41.0,0.0,1254.0,120,30.58,1691.0,74.15,3.0,5.0,6.0,122.0,27.0,2012-2022,,,,,,,,,,,,44.0,,,,,Bangladesh,16/12/1992
1346729,Dilara Akter,25,wicketkeeper batter,right-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932355,Ebadot Hossain,25,bowler,right-hand bat,right-arm fast-medium,4.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,19.09,5.94,19.2,0.0,19.09,11.0,,,,,,,,,,,,,,2022-2022,4.0,3.0,1.0,0.0,0*,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2022-2022,Apr-47,Apr-47,,19.09,5.94,19.2,210.0,0.0,1.0,4.0,1.0,4.0,35.2,,0.0,11.0,Bangladesh,07/01/1994
627048,Fahima Khatun,25,bowler,right-hand bat,legbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486995,Fargana Hoque,25,top-order batter,right-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195124,Fariha Trisna,25,bowler,right-hand bat,left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926629,Hasan Mahmud,25,bowler,right-hand bat,right-arm medium,6.0,3.0,1.0,0.33,9.09,0.0,0.0,8.0,32.0,5.9,32.5,0.33,32.0,8.0,,,,,,,,,,,,,,2021-2022,6.0,3.0,0.0,1.0,1,0.33,11.0,9.09,0.0,0.0,2.0,0.0,0.0,2021-2022,28-Mar,28-Mar,,32.0,5.9,32.5,256.0,0.0,0.0,6.0,3.0,6.0,43.2,,0.0,8.0,Bangladesh,12/10/1999
343649,Jahanara Alam,25,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927619,Khaled Ahmed,25,bowler,right-hand bat,right-arm medium,,,,,,,1.0,,,,,,,,991.0,42.76,50,1461.0,50.5,77.0,72.0,0.0,67.0,5.07,Apr-19,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,20/09/1992
346295,Lata Mondal,25,allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536936,Litton Das,25,wicketkeeper batter,right-hand bat,right-arm offbreak,60.0,60.0,1912.0,34.76,87.58,5.0,3.0,,,,,34.76,,,768.0,,121,871.0,,33.0,33.0,1.0,,,,,,2015-2022,60.0,60.0,5.0,1912.0,176,34.76,2183.0,87.58,5.0,7.0,7.0,207.0,29.0,2015-2022,,,,,,,,,,,,60.0,,,,,Bangladesh,13/10/1994
833087,Mahedi Hasan,25,allrounder,right-hand bat,right-arm offbreak,3.0,3.0,24.0,8.0,72.72,0.0,0.0,2.0,52.5,4.56,69.0,8.0,52.5,2.0,,,,,,,,,,,,,,2021-2021,3.0,3.0,0.0,24.0,14,8.0,33.0,72.72,0.0,0.0,0.0,1.0,2.0,2021-2021,Feb-42,Feb-42,,52.5,4.56,69.0,105.0,0.0,0.0,3.0,1.0,3.0,23.0,,0.0,2.0,Bangladesh,12/12/1994
1161381,Mahmudul Hasan Joy,25,top-order batter,right-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,13/11/2000
56025,Mahmudullah,25,allrounder,right-hand bat,right-arm offbreak,215.0,187.0,4879.0,35.61,76.32,3.0,21.0,82.0,45.26,5.21,52.1,35.61,45.26,82.0,3994.0,46.4,128*,5222.0,53.8,185.0,160.0,3.0,76.0,5.17,03-Apr,0.0,0.0,2007-2022,215.0,187.0,50.0,4879.0,128*,35.61,6392.0,76.32,3.0,27.0,9.0,362.0,76.0,2007-2022,4-Mar,4-Mar,,45.26,5.21,52.1,3712.0,0.0,0.0,146.0,14.0,215.0,712.1,,0.0,82.0,Bangladesh,04/02/1986
1332561,Marufa Akter,25,bowler,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629063,Mehidy Hasan Miraz,25,allrounder,right-hand bat,right-arm offbreak,67.0,42.0,756.0,22.9,78.91,1.0,1.0,79.0,32.89,4.66,42.3,22.9,32.89,79.0,381.0,41.08,51,498.0,52.8,38.0,24.0,0.0,37.0,4.66,Apr-29,1.0,0.0,2017-2022,67.0,42.0,9.0,756.0,100*,22.9,958.0,78.91,1.0,2.0,3.0,66.0,15.0,2017-2022,25-Apr,25-Apr,,32.89,4.66,42.3,2599.0,0.0,5.0,66.0,24.0,67.0,557.3,,0.0,79.0,Bangladesh,25/10/1997
990081,Mohammad Naim,25,opening batter,left-hand bat,,2.0,1.0,1.0,1.0,50.0,0.0,15.0,,,,,1.0,,,2782.0,32.54,116,3252.0,45.5,124.0,112.0,1.0,130.0,4.28,Apr-30,3.0,0.0,2020-2021,2.0,1.0,0.0,1.0,1,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,2020-2021,,,,,,,,,,,,2.0,,,,,Bangladesh,22/08/1999
629070,Mohammad Saifuddin,25,bowling allrounder,left-hand bat,right-arm medium-fast,29.0,19.0,362.0,36.2,85.78,0.0,2.0,41.0,31.19,5.98,31.2,36.2,31.19,41.0,262.0,37.87,51*,322.0,38.0,20.0,12.0,0.0,24.0,5.98,Mar-45,0.0,0.0,2017-2021,29.0,19.0,9.0,362.0,51*,36.2,422.0,85.78,0.0,2.0,1.0,29.0,6.0,2017-2021,Apr-41,Apr-41,,31.19,5.98,31.2,1279.0,0.0,1.0,28.0,7.0,29.0,213.5,,0.0,41.0,Bangladesh,01/11/1996
373696,Mominul Haque,25,middle-order batter,left-hand bat,slow left-arm orthodox,28.0,26.0,557.0,22.28,74.36,0.0,3.0,7.0,27.14,4.87,33.4,22.28,27.14,7.0,557.0,27.14,60,749.0,33.4,28.0,26.0,0.0,7.0,4.87,Feb-13,0.0,0.0,2012-2018,28.0,26.0,1.0,557.0,60,22.28,749.0,74.36,0.0,3.0,1.0,60.0,1.0,2012-2018,13-Feb,13-Feb,,27.14,4.87,33.4,190.0,0.0,0.0,12.0,1.0,28.0,39.0,,0.0,7.0,Bangladesh,29/09/1991
