id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround
935995,Afif Hossain,25,allrounder,left-hand bat,right-arm offbreak,22,19,495,35.35,90.65,0,3,3,22.66,4.97,27.3,35.35,22.66,3
380354,Anamul Haque,25,wicketkeeper batter,right-hand bat,,44,41,1254,30.58,74.15,3,5,,,,,30.58,,
1346729,Dilara Akter,25,wicketkeeper batter,right-hand bat,,,,,,,,,,,,,,,
932355,Ebadot Hossain,25,bowler,right-hand bat,right-arm fast-medium,4,3,0,0,0,0,0,11,19.09,5.94,19.2,0,19.09,11
627048,Fahima Khatun,25,bowler,right-hand bat,legbreak,,,,,,,,,,,,,,
486995,Fargana Hoque,25,top-order batter,right-hand bat,,,,,,,,,,,,,,,
1195124,Fariha Trisna,25,bowler,right-hand bat,left-arm medium,,,,,,,,,,,,,,
926629,Hasan Mahmud,25,bowler,right-hand bat,right-arm medium,6,3,1,0.33,9.09,0,0,8,32,5.9,32.5,0.33,32,8
343649,Jahanara Alam,25,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,
927619,Khaled Ahmed,25,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,
346295,Lata Mondal,25,allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,
536936,Litton Das,25,wicketkeeper batter,right-hand bat,right-arm offbreak,60,60,1912,34.76,87.58,5,7,,,,,34.76,,
833087,Mahedi Hasan,25,allrounder,right-hand bat,right-arm offbreak,3,3,24,8,72.72,0,0,2,52.5,4.56,69,8,52.5,2
1161381,Mahmudul Hasan Joy,25,top-order batter,right-hand bat,,,,,,,,,,,,,,,
56025,Mahmudullah,25,allrounder,right-hand bat,right-arm offbreak,215,187,4879,35.61,76.32,3,27,82,45.26,5.21,52.1,35.61,45.26,82
1332561,Marufa Akter,25,bowler,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
629063,Mehidy Hasan Miraz,25,allrounder,right-hand bat,right-arm offbreak,67,42,756,22.9,78.91,1,2,79,32.89,4.66,42.3,22.9,32.89,79
990081,Mohammad Naim,25,opening batter,left-hand bat,,2,1,1,1,50,0,0,,,,,1,,
629070,Mohammad Saifuddin,25,bowling allrounder,left-hand bat,right-arm medium-fast,29,19,362,36.2,85.78,0,2,41,31.19,5.98,31.2,36.2,31.19,41
373696,Mominul Haque,25,middle-order batter,left-hand bat,slow left-arm orthodox,28,26,557,22.28,74.36,0,3,7,27.14,4.87,33.4,22.28,27.14,7
550133,Mosaddek Hossain,25,middle-order batter,right-hand bat,right-arm offbreak,43,35,634,25.36,82.76,0,3,17,57,5.14,66.4,25.36,57,17
1145089,S Mostary,25,middle-order batter,right-hand bat,right-arm medium,,,,,,,,,,,,,,
549950,Munim Shahriar,25,batter,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
1080264,Murshida Khatun,25,opening batter,left-hand bat,,,,,,,,,,,,,,,
56029,Mushfiqur Rahim,25,wicketkeeper batter,right-hand bat,,239,224,6811,36.42,78.77,8,42,,,,,36.42,,
330902,Mustafizur Rahman,25,bowler,left-hand bat,left-arm fast-medium,82,36,105,7.5,57.37,0,0,141,23.9,5.08,28.2,7.5,23.9,141
924183,Nahida Akter,25,bowler,right-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,
629058,Najmul Hossain Shanto,25,top-order batter,left-hand bat,right-arm offbreak,15,15,210,14,60.86,0,0,0,,4,,14,,0
348049,Nasum Ahmed,25,bowler,left-hand bat,slow left-arm orthodox,4,1,18,,163.63,0,0,5,25.6,3.39,45.2,,25.6,5
932635,Nayeem Hasan,25,bowler,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,
924177,Nigar Sultana,25,wicketkeeper batter,right-hand bat,,,,,,,,,,,,,,,
410765,Nurul Hasan,25,wicketkeeper batter,right-hand bat,,6,5,165,82.5,94.82,0,0,,,,,82.5,,
1139511,Parvez Hossain Emon,25,wicketkeeper batter,left-hand bat,,,,,,,,,,,,,,,
1204964,Rabeya Khan,25,allrounder,right-hand bat,legbreak,,,,,,,,,,,,,,
478808,Ritu Moni,25,allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,
343648,Rumana Ahmed,25,allrounder,right-hand bat,legbreak,,,,,,,,,,,,,,
