id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround,Runs,Ave,HS,BF,SR,Mat,Inns,100,Wkts,Econ,BBI,4,5,span,matches_odi_batting,innings_odi_batting,not_out,runs_odi_batting,high_score,average_score_odi_batting,ball_faced,strike_rate_odi_batting,100s_odi_batting,50_odi_batting,0s,4s,6s,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk,Country,Date_Of_Birth
935995,Afif Hossain,25,allrounder,left-hand bat,right-arm offbreak,22,19,495,35.35,90.65,0,3,3,22.66,4.97,27.3,35.35,22.66,3,,,,,,,,,,,,,,2020-2022,22,19,5,495,93*,35.35,546,90.65,0,3,2,45,7,2020-2022,Jan-00,Jan-00,,22.66,4.97,27.3,68,0,0,8,1,22,13.4,,0,3,Bangladesh,22-09-1999
380354,Anamul Haque,25,wicketkeeper batter,right-hand bat,,44,41,1254,30.58,74.15,3,3,,,,,30.58,,,1052,,120,1488,,38,35,3,,,,,,2012-2022,44,41,0,1254,120,30.58,1691,74.15,3,5,6,122,27,2012-2022,,,,,,,,,,,,44,,,,,Bangladesh,16-12-1992
1346729,Dilara Akter,25,wicketkeeper batter,right-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932355,Ebadot Hossain,25,bowler,right-hand bat,right-arm fast-medium,4,3,0,0,0,0,0,11,19.09,5.94,19.2,0,19.09,11,,,,,,,,,,,,,,2022-2022,4,3,1,0,0*,0,6,0,0,0,2,0,0,2022-2022,Apr-47,Apr-47,,19.09,5.94,19.2,210,0,1,4,1,4,35.2,,0,11,Bangladesh,07-01-1994
627048,Fahima Khatun,25,bowler,right-hand bat,legbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486995,Fargana Hoque,25,top-order batter,right-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195124,Fariha Trisna,25,bowler,right-hand bat,left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926629,Hasan Mahmud,25,bowler,right-hand bat,right-arm medium,6,3,1,0.33,9.09,0,0,8,32,5.9,32.5,0.33,32,8,,,,,,,,,,,,,,2021-2022,6,3,0,1,1,0.33,11,9.09,0,0,2,0,0,2021-2022,28-Mar,28-Mar,,32,5.9,32.5,256,0,0,6,3,6,43.2,,0,8,Bangladesh,12-10-1999
343649,Jahanara Alam,25,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927619,Khaled Ahmed,25,bowler,right-hand bat,right-arm medium,,,,,,,1,,,,,,,,991,42.76,50,1461,50.5,77,72,0,67,5.07,Apr-19,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,20-09-1992
