id,span,matches,innings,not_out,runs,high_score,average_score,ball_faced,strike_rate,100s,50,0s,4s,6s,merge_key
420402,2013-2022,2,2.0,0.0,33.0,24,16.5,45.0,73.33,0.0,0.0,0.0,1.0,1.0,420402
921509,2019-2022,16,16.0,3.0,381.0,64*,29.3,361.0,105.54,0.0,1.0,0.0,30.0,10.0,921509
568136,2016-2022,22,3.0,3.0,27.0,24*,,24.0,112.5,0.0,0.0,0.0,4.0,0.0,568136
352048,2012-2022,55,45.0,13.0,615.0,56*,19.21,509.0,120.82,0.0,1.0,3.0,45.0,27.0,352048
440970,2013-2022,6,4.0,2.0,48.0,36,24.0,55.0,87.27,0.0,0.0,0.0,5.0,0.0,440970
793457,2016-2022,34,34.0,3.0,967.0,162*,31.19,708.0,136.58,1.0,3.0,3.0,94.0,56.0,793457
819429,2022-2022,16,10.0,3.0,94.0,20,13.42,97.0,96.9,0.0,0.0,0.0,7.0,2.0,819429
703323,2022-2022,1,1.0,0.0,20.0,20,20.0,14.0,142.85,0.0,0.0,0.0,4.0,0.0,703323
793467,2016-2022,41,26.0,4.0,362.0,53,16.45,328.0,110.36,0.0,1.0,2.0,26.0,15.0,793467
974175,2021-2022,17,2.0,1.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,974175
524049,2012-2022,86,76.0,25.0,1590.0,73,31.17,1120.0,141.96,0.0,8.0,4.0,101.0,88.0,524049
974109,2018-2022,36,9.0,5.0,32.0,18,8.0,31.0,103.22,0.0,0.0,1.0,4.0,1.0,974109
25913,2010-2022,104,96.0,16.0,1686.0,89,21.07,1204.0,140.03,0.0,4.0,6.0,114.0,89.0,25913
793447,2019-2022,22,5.0,4.0,18.0,10*,18.0,21.0,85.71,0.0,0.0,0.0,2.0,0.0,793447
1182529,,1,1.0,1.0,4.0,4*,,8.0,50.0,0.0,0.0,0.0,0.0,0.0,1182529
914171,2020-2022,2,2.0,1.0,8.0,8,8.0,9.0,88.88,0.0,0.0,0.0,1.0,0.0,914171
318339,2010-2022,65,56.0,10.0,1013.0,61,22.02,858.0,118.06,0.0,2.0,2.0,76.0,37.0,318339
793463,2015-2022,74,41.0,18.0,328.0,48*,14.26,257.0,127.62,0.0,0.0,7.0,20.0,20.0,793463
633362,2015-2022,13,8.0,3.0,35.0,18,7.0,40.0,87.5,0.0,0.0,1.0,2.0,1.0,633362
974087,2019-2022,35,35.0,0.0,896.0,87,25.6,648.0,138.27,0.0,5.0,4.0,70.0,55.0,974087
711559,2015-2022,33,32.0,3.0,764.0,73,26.34,707.0,108.06,0.0,4.0,0.0,74.0,21.0,711559
440968,2015-2015,2,1.0,1.0,1.0,1*,,1.0,100.0,0.0,0.0,0.0,0.0,0.0,440968
959759,2021-2023,28,28.0,0.0,616.0,101,22.0,384.0,160.41,1.0,2.0,2.0,62.0,36.0,959759
440516,2017-2021,7,6.0,2.0,59.0,30*,14.75,75.0,78.66,0.0,0.0,0.0,4.0,0.0,440516
277912,2013-2022,55,12.0,7.0,32.0,8,6.4,42.0,76.19,0.0,0.0,1.0,2.0,0.0,277912
326968,2022-2023,16,11.0,5.0,113.0,61*,18.83,81.0,139.5,0.0,1.0,2.0,10.0,5.0,326968
362541,2011-2021,20,11.0,5.0,126.0,44,21.0,90.0,140.0,0.0,0.0,2.0,6.0,9.0,362541
438563,2014-2023,44,39.0,4.0,787.0,83,22.48,646.0,121.82,0.0,3.0,3.0,65.0,27.0,438563
379140,2020-2023,38,35.0,8.0,1234.0,99*,45.7,947.0,130.3,0.0,9.0,0.0,118.0,32.0,379140
440517,,7,5.0,1.0,118.0,78*,29.5,93.0,126.88,0.0,1.0,0.0,10.0,5.0,440517
55395,2012-2021,41,39.0,7.0,505.0,59,15.78,365.0,138.35,0.0,3.0,6.0,27.0,30.0,55395
547766,2020-2023,10,2.0,1.0,9.0,6*,9.0,8.0,112.5,0.0,0.0,0.0,1.0,0.0,547766
493773,2017-2023,31,8.0,4.0,21.0,14,5.25,21.0,100.0,0.0,0.0,2.0,0.0,2.0,493773
226492,2009-2022,122,118.0,7.0,3531.0,105,31.81,2602.0,135.7,2.0,20.0,3.0,309.0,173.0,226492
506612,2014-2017,6,2.0,1.0,10.0,10,10.0,5.0,200.0,0.0,0.0,0.0,2.0,0.0,506612
625960,2020-2021,8,4.0,2.0,41.0,30,20.5,27.0,151.85,0.0,0.0,0.0,7.0,0.0,625960
388802,2012-2021,18,15.0,2.0,322.0,65*,24.76,303.0,106.27,0.0,2.0,0.0,22.0,5.0,388802
450860,2010-2022,35,12.0,9.0,39.0,10*,13.0,39.0,100.0,0.0,0.0,1.0,1.0,2.0,450860
381743,2019-2023,44,42.0,10.0,888.0,72*,27.75,633.0,140.28,0.0,4.0,1.0,59.0,36.0,381743
355269,2012-2022,60,48.0,17.0,688.0,48*,22.19,431.0,159.62,0.0,0.0,5.0,49.0,41.0,355269
539511,2016-2021,10,9.0,1.0,100.0,36*,12.5,112.0,89.28,0.0,0.0,0.0,9.0,0.0,539511
595783,2018-2021,7,2.0,0.0,7.0,4,3.5,14.0,50.0,0.0,0.0,0.0,0.0,0.0,595783
935995,2018-2022,60,55.0,8.0,1003.0,77*,21.34,832.0,120.55,0.0,3.0,6.0,72.0,33.0,935995
380354,2012-2022,20,20.0,2.0,445.0,58,24.72,395.0,112.65,0.0,1.0,1.0,46.0,14.0,380354
823509,2017-2023,59,52.0,8.0,1385.0,108,31.47,957.0,144.72,2.0,8.0,2.0,95.0,70.0,823509
932355,2022-2022,4,,,,,,,,,,,,,932355
926629,2020-2022,10,5.0,3.0,5.0,3,2.5,10.0,50.0,0.0,0.0,1.0,0.0,0.0,926629
536936,2015-2022,65,64.0,1.0,1388.0,69,22.03,1077.0,128.87,0.0,8.0,4.0,137.0,43.0,536936
833087,2018-2022,38,28.0,7.0,259.0,30*,12.33,247.0,104.85,0.0,0.0,5.0,18.0,9.0,833087
56025,2007-2022,121,113.0,23.0,2122.0,64*,23.57,1809.0,117.3,0.0,6.0,4.0,161.0,64.0,56025
