name,Bat_Span,Bat_Mat,Bat_Inns,Bat_NO,Bat_Runs,Bat_HS,Bat_Ave,Bat_BF,Bat_SR,Bat_100,Bat_50,Bat_0,Bat_4s,Bat_6s,Bowl_Span,Bowl_Mat,Bowl_Inns,Bowl_Overs,Bowl_Mdns,Bowl_Runs,Bowl_Wkts,Bowl_BBI,Bowl_Ave,Bowl_Econ,Bowl_SR,Bowl_4,Bowl_5,Field_Span,Field_Mat,Field_Inns,Field_Dis,Field_Ct,Field_St,Field_Ct Wk,Field_Ct Fi,Field_MD,Field_D/I,Format
A Ahmadhel (),2019-2019,3,2,0,16,15,8,16,100,0,0,0,2,0,2019-2019,3,3,10.0,0,75,3,2/16,25.0,7.5,20.0,0,0,2019-2019,3,3,0,0,0,0,0,0,0.0,T20
A Anemogiannis (),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,2019-2019,1,1,0,0,0,0,0,0,0.0,T20
A Ashokan (CZK-R),2019-2019,2,2,0,41,34,20.5,29,141.37,0,0,0,2,3,2019-2019,2,1,2.0,0,16,0,-,-,8.0,-,0,0,2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5,T20
A Aspiotis (),2019-2019,3,1,1,3,3*,-,4,75,0,0,0,0,0,2019-2019,3,3,11.0,0,71,4,2/24,17.75,6.45,16.5,0,0,2019-2019,3,3,0,0,0,0,0,0,0.0,T20
A Bagai (CAN),2008-2013,9,9,2,284,67*,40.57,249,114.05,0,2,0,27,0,2008-2013,9,-,-,-,-,-,-,-,-,-,-,-,2008-2013,9,9,11,5,6,5,0,2 (1ct 1st),1.222,T20
A Balbirnie (IRE),2015-2019,37,33,2,790,83,25.48,593,133.22,0,4,3,94,12,2015-2019,37,-,-,-,-,-,-,-,-,-,-,-,2015-2019,37,35,14,14,0,0,14,2 (2ct 0st),0.4,T20
A Bhagwat (HKG),2019-2019,4,4,0,5,3,1.25,16,31.25,0,0,1,0,0,2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,2019-2019,4,4,2,2,0,2,0,2 (2ct 0st),0.5,T20
A Bhattarai (NEPAL),2014-2014,1,1,0,2,2,2,3,66.66,0,0,0,0,0,2014-2014,1,1,3.0,0,12,1,1/12,12.0,4.0,18.0,0,0,2014-2014,1,1,0,0,0,0,0,0,0.0,T20
A Bohara (NEPAL),2019-2019,17,5,2,5,3*,1.66,12,41.66,0,0,2,0,0,2019-2019,17,16,54.0,0,350,16,4/35,21.87,6.48,20.2,1,0,2019-2019,17,17,3,3,0,0,3,1 (1ct 0st),0.17600000000000002,T20
A Bulow (DEN),2019-2019,2,1,0,11,11,11,13,84.61,0,0,0,0,1,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,2019-2019,2,1,0,0,0,0,0,0,0.0,T20
A Carthew (Chile),2019-2019,4,1,1,2,2*,-,2,100,0,0,0,0,0,2019-2019,4,1,2.0,0,19,1,1/19,19.0,9.5,12.0,0,0,2019-2019,4,4,0,0,0,0,0,0,0.0,T20
A Dananjaya (SL),2012-2019,22,12,4,49,11*,6.12,57,85.96,0,0,2,6,0,2012-2019,22,22,79.4,1,620,22,3/36,28.18,7.78,21.7,0,0,2012-2019,22,22,5,5,0,0,5,1 (1ct 0st),0.22699999999999998,T20
A Djorovic (Serb),2019-2019,2,2,0,11,9,5.5,26,42.3,0,0,0,1,0,2019-2019,2,2,6.0,1,32,0,-,-,5.33,-,0,0,2019-2019,2,2,0,0,0,0,0,0,0.0,T20
A Ferguson (Arg),2019-2019,5,3,1,88,51,44,100,88,0,1,0,5,1,2019-2019,5,-,-,-,-,-,-,-,-,-,-,-,2019-2019,5,5,2,2,0,0,2,1 (1ct 0st),0.4,T20
A Flintoff (ENG),2005-2007,7,7,1,76,31,12.66,60,126.66,0,0,1,7,2,2005-2007,7,7,25.0,0,161,5,2/23,32.2,6.44,30.0,0,0,2005-2007,7,7,5,5,0,0,5,2 (2ct 0st),0.7140000000000001,T20
A Gavde (Caym),2019-2019,1,1,0,1,1,1,6,16.66,0,0,0,0,0,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,2019-2019,1,1,0,0,0,0,0,0,0.0,T20
A Husain (Arg),2019-2019,5,1,1,2,2*,-,1,200,0,0,0,0,0,2019-2019,5,4,10.0,0,51,1,1/6,51.0,5.1,60.0,0,0,2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2,T20
A Karn (NEPAL),2015-2015,2,1,0,4,4,4,7,57.14,0,0,0,0,0,2015-2015,2,2,8.0,0,49,1,1/31,49.0,6.12,48.0,0,0,2015-2015,2,2,0,0,0,0,0,0,0.0,T20
A Khan (ENG),2009-2009,1,1,0,2,2,2,4,50,0,0,0,0,0,2009-2009,1,1,4.0,0,34,2,2/34,17.0,8.5,12.0,0,0,2009-2009,1,1,0,0,0,0,0,0,0.0,T20
A Krishna (SGP),2019-2019,4,2,1,5,4,5,3,166.66,0,0,0,1,0,2019-2019,4,4,12.0,0,121,4,3/27,30.25,10.08,18.0,0,0,2019-2019,4,4,0,0,0,0,0,0,0.0,T20
A Lagos (),2019-2019,1,1,1,1,1*,-,4,25,0,0,0,0,0,2019-2019,1,1,2.0,0,13,0,-,-,6.5,-,0,0,2019-2019,1,1,1,1,0,0,1,1 (1ct 0st),1.0,T20
A Lark (Aut),2019-2019,5,4,0,110,43,27.5,121,90.9,0,0,1,15,0,2019-2019,5,4,10.5,0,55,4,3/20,13.75,5.07,16.2,0,0,2019-2019,5,5,2,2,0,0,2,1 (1ct 0st),0.4,T20
A Makesh (KUW),2019-2019,4,2,1,57,57,57,41,139.02,0,1,0,3,4,2019-2019,4,4,9.0,1,79,1,1/19,79.0,8.77,54.0,0,0,2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25,T20
A Manousis (),2019-2019,3,3,1,52,23,26,49,106.12,0,0,0,5,1,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,2019-2019,3,3,2,2,0,0,2,1 (1ct 0st),0.6659999999999999,T20
A Mansale (VAN),2019-2019,14,14,0,159,38,11.35,151,105.29,0,0,4,14,5,2019-2019,14,10,26.0,0,176,13,3/13,13.53,6.76,12.0,0,0,2019-2019,14,14,5,5,0,0,5,2 (2ct 0st),0.35700000000000004,T20
A Martin (WI),2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,2011-2011,1,1,3.0,0,20,1,1/20,20.0,6.66,18.0,0,0,2011-2011,1,1,2,2,0,0,2,2 (2ct 0st),2.0,T20
A Mehmood (HKG),2016-2016,2,1,1,0,0*,-,1,0,0,0,0,0,0,2016-2016,2,1,1.0,0,12,0,-,-,12.0,-,0,0,2016-2016,2,2,0,0,0,0,0,0,0.0,T20
A Mishra (INDIA),2010-2017,10,1,0,0,0,0,0,-,0,0,1,0,0,2010-2017,10,10,38.0,1,240,16,3/24,15.0,6.31,14.2,0,0,2010-2017,10,10,1,1,0,0,1,1 (1ct 0st),0.1,T20
A Morris (Caym),2019-2019,6,4,2,5,3*,2.5,17,29.41,0,0,1,0,0,2019-2019,6,6,22.0,1,114,6,2/17,19.0,5.18,22.0,0,0,2019-2019,6,6,0,0,0,0,0,0,0.0,T20
