player_clean,Player_bat,Bat_Span,Bat_Mat,Bat_Inns,Bat_Runs,Bat_HS,Bat_Ave,Bat_BF,Bat_SR,Bat_100,Bat_50,Bat_4s,Bat_6s,Player_bowl,Bowl_Mat,Bowl_Inns,Bowl_Overs,Bowl_Runs,Bowl_Wkts,Bowl_Ave,Bowl_Econ,Bowl_SR,Bowl_4w,Bowl_5w,Format
a ahmadhel,A Ahmadhel (),2019-2019,3,2,16,15,8,16,100,0,0,2,0,A Ahmadhel (),3,3,10.0,75,3,25.0,7.5,20.0,0,0,T20
a anemogiannis,A Anemogiannis (),2019-2019,1,-,-,-,-,-,-,-,-,-,-,A Anemogiannis (),1,-,-,-,-,-,-,-,-,-,T20
a ashokan czkr,A Ashokan (CZK-R),2019-2019,2,2,41,34,20.5,29,141.37,0,0,2,3,A Ashokan (CZK-R),2,1,2.0,16,0,-,8.0,-,0,0,T20
a aspiotis,A Aspiotis (),2019-2019,3,1,3,3*,-,4,75,0,0,0,0,A Aspiotis (),3,3,11.0,71,4,17.75,6.45,16.5,0,0,T20
a bagai can,A Bagai (CAN),2008-2013,9,9,284,67*,40.57,249,114.05,0,2,27,0,A Bagai (CAN),9,-,-,-,-,-,-,-,-,-,T20
a balbirnie ire,A Balbirnie (IRE),2015-2019,37,33,790,83,25.48,593,133.22,0,4,94,12,A Balbirnie (IRE),37,-,-,-,-,-,-,-,-,-,T20
a bhagwat hkg,A Bhagwat (HKG),2019-2019,4,4,5,3,1.25,16,31.25,0,0,0,0,A Bhagwat (HKG),4,-,-,-,-,-,-,-,-,-,T20
a bhattarai nepal,A Bhattarai (NEPAL),2014-2014,1,1,2,2,2,3,66.66,0,0,0,0,A Bhattarai (NEPAL),1,1,3.0,12,1,12.0,4.0,18.0,0,0,T20
a bohara nepal,A Bohara (NEPAL),2019-2019,17,5,5,3*,1.66,12,41.66,0,0,0,0,A Bohara (NEPAL),17,16,54.0,350,16,21.87,6.48,20.2,1,0,T20
a bulow den,A Bulow (DEN),2019-2019,2,1,11,11,11,13,84.61,0,0,0,1,A Bulow (DEN),2,-,-,-,-,-,-,-,-,-,T20
a carthew chile,A Carthew (Chile),2019-2019,4,1,2,2*,-,2,100,0,0,0,0,A Carthew (Chile),4,1,2.0,19,1,19.0,9.5,12.0,0,0,T20
a dananjaya sl,A Dananjaya (SL),2012-2019,22,12,49,11*,6.12,57,85.96,0,0,6,0,A Dananjaya (SL),22,22,79.4,620,22,28.18,7.78,21.7,0,0,T20
a djorovic serb,A Djorovic (Serb),2019-2019,2,2,11,9,5.5,26,42.3,0,0,1,0,A Djorovic (Serb),2,2,6.0,32,0,-,5.33,-,0,0,T20
a ferguson arg,A Ferguson (Arg),2019-2019,5,3,88,51,44,100,88,0,1,5,1,A Ferguson (Arg),5,-,-,-,-,-,-,-,-,-,T20
a flintoff eng,A Flintoff (ENG),2005-2007,7,7,76,31,12.66,60,126.66,0,0,7,2,A Flintoff (ENG),7,7,25.0,161,5,32.2,6.44,30.0,0,0,T20
a gavde caym,A Gavde (Caym),2019-2019,1,1,1,1,1,6,16.66,0,0,0,0,A Gavde (Caym),1,-,-,-,-,-,-,-,-,-,T20
a husain arg,A Husain (Arg),2019-2019,5,1,2,2*,-,1,200,0,0,0,0,A Husain (Arg),5,4,10.0,51,1,51.0,5.1,60.0,0,0,T20
a karn nepal,A Karn (NEPAL),2015-2015,2,1,4,4,4,7,57.14,0,0,0,0,A Karn (NEPAL),2,2,8.0,49,1,49.0,6.12,48.0,0,0,T20
a khan eng,A Khan (ENG),2009-2009,1,1,2,2,2,4,50,0,0,0,0,A Khan (ENG),1,1,4.0,34,2,17.0,8.5,12.0,0,0,T20
a krishna sgp,A Krishna (SGP),2019-2019,4,2,5,4,5,3,166.66,0,0,1,0,A Krishna (SGP),4,4,12.0,121,4,30.25,10.08,18.0,0,0,T20
a lagos,A Lagos (),2019-2019,1,1,1,1*,-,4,25,0,0,0,0,A Lagos (),1,1,2.0,13,0,-,6.5,-,0,0,T20
a lark aut,A Lark (Aut),2019-2019,5,4,110,43,27.5,121,90.9,0,0,15,0,A Lark (Aut),5,4,10.5,55,4,13.75,5.07,16.2,0,0,T20
a makesh kuw,A Makesh (KUW),2019-2019,4,2,57,57,57,41,139.02,0,1,3,4,A Makesh (KUW),4,4,9.0,79,1,79.0,8.77,54.0,0,0,T20
a manousis,A Manousis (),2019-2019,3,3,52,23,26,49,106.12,0,0,5,1,A Manousis (),3,-,-,-,-,-,-,-,-,-,T20
a mansale van,A Mansale (VAN),2019-2019,14,14,159,38,11.35,151,105.29,0,0,14,5,A Mansale (VAN),14,10,26.0,176,13,13.53,6.76,12.0,0,0,T20
a martin wi,A Martin (WI),2011-2011,1,-,-,-,-,-,-,-,-,-,-,A Martin (WI),1,1,3.0,20,1,20.0,6.66,18.0,0,0,T20
a mehmood hkg,A Mehmood (HKG),2016-2016,2,1,0,0*,-,1,0,0,0,0,0,A Mehmood (HKG),2,1,1.0,12,0,-,12.0,-,0,0,T20
a mishra,A Mishra (INDIA),2010-2017,10,1,0,0,0,0,-,0,0,0,0,A Mishra (INDIA),10,10,38.0,240,16,15.0,6.31,14.2,0,0,T20
a morris caym,A Morris (Caym),2019-2019,6,4,5,3*,2.5,17,29.41,0,0,0,0,A Morris (Caym),6,6,22.0,114,6,19.0,5.18,22.0,0,0,T20
a nanda lux,A Nanda (LUX),2019-2019,3,1,5,5,5,5,100,0,0,1,0,A Nanda (LUX),3,3,7.2,47,7,6.71,6.4,6.2,0,1,T20
a nao png,A Nao (PNG),2017-2017,2,2,7,7*,-,4,175,0,0,1,0,A Nao (PNG),2,2,5.0,49,0,-,9.8,-,0,0,T20
a nathwani aut,A Nathwani (Aut),2019-2019,5,1,1,1*,-,1,100,0,0,0,0,A Nathwani (Aut),5,4,10.0,79,3,26.33,7.9,20.0,0,0,T20
a natubhai ahir pnm,A Natubhai Ahir (PNM),2019-2019,3,3,64,30,21.33,59,108.47,0,0,10,1,A Natubhai Ahir (PNM),3,3,6.0,49,0,-,8.16,-,0,0,T20
a ndlovu zim,A Ndlovu (ZIM),2019-2019,3,1,2,2,2,4,50,0,0,0,0,A Ndlovu (ZIM),3,3,11.0,90,1,90.0,8.18,66.0,0,0,T20
a nehra,A Nehra (INDIA),2009-2017,27,5,28,22,5.6,39,71.79,0,0,1,2,A Nehra (INDIA),27,27,98.0,758,34,22.29,7.73,17.2,0,0,T20
a neill scot,A Neill (SCOT),2019-2019,5,-,-,-,-,-,-,-,-,-,-,A Neill (SCOT),5,5,20.0,154,9,17.11,7.7,13.3,0,0,T20
a nel sa,A Nel (SA),2005-2007,2,1,0,0*,-,2,0,0,0,0,0,A Nel (SA),2,2,8.0,42,2,21.0,5.25,24.0,0,0,T20
a nortje sa,A Nortje (SA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,A Nortje (SA),1,1,3.0,27,0,-,9.0,-,0,0,T20
a orfila gibr,A Orfila (GIBR),2019-2019,1,1,0,0,0,2,0,0,0,0,0,A Orfila (GIBR),1,1,1.0,7,0,-,7.0,-,0,0,T20
a otwani uga,A Otwani (UGA),2019-2019,4,4,89,44,22.25,78,114.1,0,0,13,1,A Otwani (UGA),4,-,-,-,-,-,-,-,-,-,T20
a patel mwi,A Patel (MWI),2019-2019,2,2,12,6*,12,23,52.17,0,0,2,0,A Patel (MWI),2,1,1.0,19,0,-,19.0,-,0,0,T20
a poulose oman,A Poulose (OMAN),2017-2017,3,3,9,9,3,14,64.28,0,0,2,0,A Poulose (OMAN),3,-,-,-,-,-,-,-,-,-,T20
a pusthay fin,A Pusthay (Fin),2019-2019,5,5,72,37,14.4,60,120,0,0,5,1,A Pusthay (Fin),5,4,10.0,90,2,45.0,9.0,30.0,0,0,T20
a rangaswamy botsw,A Rangaswamy (Botsw),2019-2019,4,3,10,7,3.33,13,76.92,0,0,0,1,A Rangaswamy (Botsw),4,4,9.4,83,7,11.85,8.58,8.2,1,0,T20
a sarma ger,A Sarma (GER),2019-2019,3,3,57,28,19,67,85.07,0,0,3,1,A Sarma (GER),3,-,-,-,-,-,-,-,-,-,T20
a sathya mex,A Sathya (Mex),2019-2019,3,3,61,30,20.33,61,100,0,0,3,2,A Sathya (Mex),3,3,11.3,76,4,19.0,6.6,17.2,0,0,T20
a shahzad eng,A Shahzad (ENG),2010-2011,3,1,0,0*,-,3,0,0,0,0,0,A Shahzad (ENG),3,3,11.0,97,3,32.33,8.81,22.0,0,0,T20
a srivastav chile,A Srivastav (Chile),2019-2019,4,4,25,21,6.25,37,67.56,0,0,2,0,A Srivastav (Chile),4,3,8.0,73,3,24.33,9.12,16.0,0,0,T20
a symonds aus,A Symonds (AUS),2005-2009,14,11,337,85*,48.14,199,169.34,0,2,33,10,A Symonds (AUS),14,12,30.5,277,8,34.62,8.98,23.1,0,0,T20
a tripathi mex,A Tripathi (Mex),2019-2019,3,2,2,1*,-,4,50,0,0,0,0,A Tripathi (Mex),3,-,-,-,-,-,-,-,-,-,T20
a uniyal chile,A Uniyal (Chile),2019-2019,3,3,20,16*,10,24,83.33,0,0,2,0,A Uniyal (Chile),3,3,9.0,59,4,14.75,6.55,13.5,0,0,T20
a vala png,A Vala (PNG),2015-2019,26,24,460,68,23,427,107.72,0,2,39,13,A Vala (PNG),26,16,44.5,249,20,12.45,5.55,13.4,0,0,T20
a zampa aus,A Zampa (AUS),2016-2019,27,6,23,9,11.5,26,88.46,0,0,2,0,A Zampa (AUS),27,26,93.0,572,28,20.42,6.15,19.9,0,0,T20
aa banner blz,AA Banner (Blz),2019-2019,3,2,44,28,22,29,151.72,0,0,4,3,AA Banner (Blz),3,2,8.0,39,1,39.0,4.87,48.0,0,0,T20
aa mulla can,AA Mulla (CAN),2008-2008,4,4,11,8,2.75,19,57.89,0,0,2,0,AA Mulla (CAN),4,-,-,-,-,-,-,-,-,-,T20
aa noffke aus,AA Noffke (AUS),2007-2008,2,1,0,0,0,0,-,0,0,0,0,AA Noffke (AUS),2,2,7.3,41,4,10.25,5.46,11.2,0,0,T20
aa obanda kenya,AA Obanda (KENYA),2007-2019,30,28,381,79,14.65,362,105.24,0,1,49,7,AA Obanda (KENYA),30,-,-,-,-,-,-,-,-,-,T20
aa onikoyi nga,AA Onikoyi (NGA),2019-2019,9,8,119,49,14.87,144,82.63,0,0,8,4,AA Onikoyi (NGA),9,-,-,-,-,-,-,-,-,-,T20
aa westphal mex,AA Westphal (Mex),2019-2019,5,5,33,24,6.6,40,82.5,0,0,3,0,AA Westphal (Mex),5,5,19.0,65,5,13.0,3.42,22.8,0,0,T20
aamer ikram port,Aamer Ikram (PORT),2019-2019,4,4,58,23,14.5,73,79.45,0,0,4,4,Aamer Ikram (PORT),4,-,-,-,-,-,-,-,-,-,T20
aamer yamin pak,Aamer Yamin (PAK),2015-2018,2,1,15,15*,-,6,250,0,0,1,1,Aamer Yamin (PAK),2,2,6.0,37,2,18.5,6.16,18.0,0,0,T20
aamir kaleem oman,Aamir Kaleem (OMAN),2015-2019,25,22,325,46*,18.05,306,106.2,0,0,26,9,Aamir Kaleem (OMAN),25,20,54.0,388,22,17.63,7.18,14.7,2,1,T20
aarif sheikh nepal,Aarif Sheikh (NEPAL),2018-2019,11,10,194,39*,24.25,181,107.18,0,0,18,4,Aarif Sheikh (NEPAL),11,-,-,-,-,-,-,-,-,-,T20
aaron jones usa,Aaron Jones (USA),2019-2019,8,7,81,39,20.25,81,100,0,0,3,2,Aaron Jones (USA),8,3,7.0,28,2,14.0,4.0,21.0,0,0,T20
ab agarkar,AB Agarkar (INDIA),2006-2007,4,2,15,14,7.5,11,136.36,0,0,2,0,AB Agarkar (INDIA),4,3,10.3,85,3,28.33,8.09,21.0,0,0,T20
ab barath wi,AB Barath (WI),2010-2011,2,2,23,15,11.5,39,58.97,0,0,3,0,AB Barath (WI),2,-,-,-,-,-,-,-,-,-,T20
ab de villiers sa,AB de Villiers (SA),2006-2017,78,75,1672,79*,26.12,1237,135.16,0,10,140,60,AB de Villiers (SA),78,-,-,-,-,-,-,-,-,-,T20
ab dinda,AB Dinda (INDIA),2009-2012,9,2,22,19,22,24,91.66,0,0,1,0,AB Dinda (INDIA),9,9,30.0,245,17,14.41,8.16,10.5,1,0,T20
ab dursak tky,AB Dursak (TKY),2019-2019,4,4,4,3,1,24,16.66,0,0,0,0,AB Dursak (TKY),4,3,8.4,134,0,-,15.46,-,0,0,T20
abbas saad saudi,Abbas Saad (Saudi),2019-2019,2,2,8,8,4,8,100,0,0,1,0,Abbas Saad (Saudi),2,-,-,-,-,-,-,-,-,-,T20
abdul hashmi den,Abdul Hashmi (DEN),2019-2019,8,5,70,31,17.5,66,106.06,0,0,4,0,Abdul Hashmi (DEN),8,-,-,-,-,-,-,-,-,-,T20
abdul rashid belg,Abdul Rashid (Belg),2019-2019,1,1,9,9,9,24,37.5,0,0,0,0,Abdul Rashid (Belg),1,-,-,-,-,-,-,-,-,-,T20
