player_norm,avg_runs_last10,matches_count
a aitken-drummond,9.75,8
a ashok,10.0,1
a athanaze,21.3,10
a bagai,40.0,10
a balbirnie,33.8,10
a beggs,0.0,1
a bohara,6.5,2
a bosch,22.7,10
a brindle,28.8,10
a canning,6.2,10
a capsey,20.4,10
a chopra,0.0,1
a codrington,5.5,6
a dalzell,7.0,5
a dananjaya,10.4,10
a das,1.0,1
a dercksen,39.8,10
a dutt,4.1,10
a flintoff,30.4,10
a flower,47.43,7
a gardner,34.9,10
a hartley,0.8,5
a hlubi,3.25,4
a hunter,34.9,10
a johnson,18.3,10
a khaka,3.5,10
a king,14.7,10
a kolan,22.14,7
a kumble,4.9,10
a le breton,3.0,1
a lister,23.67,9
a maregwede,13.5,8
a martin,2.0,5
a mazvishaya,7.71,7
a mcgrath,12.2,10
a minny,35.33,3
a mishra,4.3,10
a mithun,17.0,3
a mohammed,4.9,10
a munisar,2.0,2
a nao,4.1,10
a ndiraya,30.6,10
a nehra,1.7,10
a neill,4.83,6
a nel,8.1,10
a nortje,5.71,7
a patel,25.0,1
a phillip,11.0,2
a rawat,76.5,2
a reddy,8.8,5
a saud,13.8,10
a shahzad,5.0,8
a shamshudeen,3.0,1
a sharafu,20.2,10
a sharma,20.2,10
a shrubsole,3.8,10
a steyn,24.7,10
a sutherland,37.6,10
a suwanchonrathi,3.0,1
a symonds,31.6,10
a tector,7.8,5
a vala,28.5,10
a valthapa,14.0,1
a van der merwe,4.0,1
a wellington,1.5,4
a zampa,9.1,10
a zimunu,14.0,2
aa alleyne,15.1,10
aa deshpande,32.0,1
aa jangoo,30.6,5
aa mulla,18.75,8
aa obanda,26.9,10
aa paradkar,10.2,5
aa shafique,13.0,1
aaditya varadarajan,12.0,3
aamer jamal,2.5,2
aamer yamin,31.67,3
aamir kaleem,14.2,10
aap atkinson,13.0,8
aarif sheikh,38.5,10
aaron jones,28.5,10
aasif sheikh,13.3,10
aayan afzal khan,6.2,10
ab agarkar,4.9,10
ab barath,27.7,10
ab de villiers,35.7,10
ab dinda,4.2,5
ab kaur,10.89,9
abdul jabbar,29.5,2
abdul razzaq,12.5,10
abdul shakoor,17.0,2
abdullah shafique,17.5,10
abdur razzak,11.6,10
abdur rehman,6.8,10
abid ali,39.0,6
abrar ahmed,7.0,4
abul hasan,3.67,3
ac agar,17.8,10
ac botha,15.1,10
ac cummins,7.0,3
ac dawson,23.0,1
ac evans,5.7,10
ac gilchrist,32.2,10
ac jayangani,23.4,10
ac kerr,34.1,10
ac voges,25.2,10
ad hales,41.0,10
ad janakanthymala,0.5,2
ad mascarenhas,23.5,10
ad mathews,20.8,10
ad poynter,10.83,6
ad russell,16.7,10
adeel raja,2.6,5
adj pitcher,8.0,1
adnan akmal,15.5,4
adnan mufti,23.9,10
adr campbell,7.0,1
ads fletcher,9.8,10
ae jones,46.7,10
ae satterthwaite,27.8,10
ae smith,45.0,1
af buurman,13.0,2
af giles,18.3,10
af milne,5.0,10
af sattaur,6.67,3
afif hossain,17.2,10
aftab ahmed,13.7,10
afzaal haider,0.0,1
ag cremer,10.0,10
ag prince,19.5,10
ag puttick,0.0,1
ag wharf,3.8,5
agc vimukthi,3.5,2
agha salman,38.0,10
ags gous,33.7,10
ah maqsood,2.5,8
ah thomson,8.0,2
ahmed raza,6.9,10
ahmed shehzad,16.5,10
ahsan malik,2.0,2
ai chudasama,17.29,7
aijaz ali,2.5,2
aiman anwer,3.0,5
aizaz cheema,4.33,6
aizaz khan,14.3,10
aj bichel,12.1,10
aj blackwell,38.5,10
aj burger,33.17,6
aj finch,10.7,10
aj hall,14.4,10
aj healy,32.3,10
aj hosein,5.4,10
aj ireland,1.71,7
aj kenealy,6.5,6
aj mckay,1.33,9
aj redmond,25.33,6
aj stewart,28.7,10
aj strauss,40.0,10
aj turner,27.43,7
aj tye,8.14,7
ak maguire,3.14,7
ak markram,31.4,10
ak perera,13.0,4
ak peters,1.5,4
ak sah,15.3,10
akeem jordan,3.0,1
akhil kumar,6.5,4
akif javed,3.33,3
akram khan,28.5,2
akshay homraj,19.88,8
al hodgkinson,40.33,3
al kandappah,48.5,2
al phehlukwayo,10.9,10
al sahariar,7.33,6
al watkins,0.0,1
al-amin hossain,0.67,6
alawi shukri,1.0,1
ali khan,2.22,9
ali nadeem,23.0,3
ali naseer,19.7,10
aliya riaz,31.4,10
alok kapali,22.0,10
am bacher,20.4,5
am blignaut,12.6,10
am ellis,11.4,10
am fernando,1.0,7
am guruge,7.0,2
am hardie,15.1,10
am mccarthy,7.5,2
am nayar,0.0,1
am peterson,13.1,10
am phangiso,7.2,10
am rahane,38.4,10
am samad,22.6,10
am tribe,58.25,4
aman ali,0.0,1
amir hayat,6.2,5
amjad ali,24.9,10
amjad javed,20.3,10
an cook,23.7,10
an davidson-richards,22.86,7
an kelly,12.2,10
an kervezee,12.22,9
an petersen,15.6,10
anam amin,2.8,10
anamul haque,22.7,10
ankur sharma,16.0,2
anop santosh,2.0,1
ansh tandon,10.0,1
anshuman rath,32.5,10
anwar ali,20.0,10
ao suji,7.0,6
ap devcich,17.3,10
apc kilowan,21.0,1
aps lakshika,0.0,1
aqib ilyas,28.0,10
ar adams,12.9,10
ar berenger,8.83,6
ar bisht,7.5,2
ar caddick,6.4,10
ar cusack,6.5,10
ar mcbrine,15.0,10
ar nurse,18.7,10
ar odedara,27.4,5
ar patel,26.1,10
ar pitcher,30.0,1
ar white,10.3,10
arafat sunny,4.8,10
ari umeed,34.5,4
arshad ali,23.5,2
arshad khan,7.0,2
arshdeep singh,6.5,6
aryan lakra,20.8,10
as hansra,26.2,10
as joseph,13.1,10
as luseno,0.0,2
as tanke,20.5,2
as van beuge,9.71,7
asad ali,6.5,2
asad shafiq,14.8,10
ashfaq ahmed,7.6,10
asif ali,22.2,10
asif iqbal (1),8.0,2
asif khan,37.2,10
asmavia iqbal,12.9,10
ass fletcher,7.4,10
at carey,39.8,10
at nidamanuru,22.8,10
at rayudu,24.7,10
au rashid,9.7,10
av lalcheta,9.0,2
avesh khan,5.75,4
ay karim,0.0,2
ayan khan,28.3,10
ayasha rahman,40.67,3
ayesha naseem,8.25,4
ayesha zafar,12.9,10
azhar ali,25.3,10
azhar mahmood,14.0,9
b bezuidenhout,21.9,10
b bhandari,23.0,10
b biza,24.44,9
b cooper,17.0,10
b de leede,20.4,10
b evans,5.2,10
b fernando,8.67,3
b geeves,10.0,1
b kumar,8.3,10
b laughlin,1.0,1
b lee,19.9,10
b leephatthana,10.0,3
b mavuta,9.2,10
b muzarabani,3.4,10
b regmi,6.0,2
b sai sudharsan,42.33,3
b sharki,26.2,10
b shikongo,1.3,10
b siddharth,2.33,3
b stanlake,0.8,5
b tau,15.38,8
b ward,17.25,4
b zuiderent,14.8,10
ba carse,12.6,10
ba king,13.8,10
ba langston,21.0,1
ba murphy,1.5,2
ba parchment,17.83,6
ba stokes,54.4,10
ba westdijk,0.0,2
ba williams,3.5,4
babar azam,32.4,10
babar hayat,32.1,10
badal singh,5.0,1
bam heath,14.75,4
basil hameed,21.5,10
basir ahamad,4.67,3
batool fatima,12.8,5
baw mendis,5.3,10
bazid khan,26.2,5
bb chari,11.0,10
bb mccullum,27.5,10
bb seebaran,2.0,2
bc fortuin,8.29,7
bc lara,35.5,10
bcj cutting,26.5,2
bd glover,7.0,4
bdh stevens,1.0,1
be hendricks,6.0,4
bfw de leede,28.7,10
bg lister,3.33,3
bg rogers,35.88,8
bikram sob,1.0,4
bilal asif,13.33,3
bilal khan,0.6,10
bilawal bhatti,12.71,7
bismah maroof,24.6,10
bj bennett,42.38,8
bj curran,62.6,5
bj currie,4.67,3
bj diamanti,26.0,1
bj dwarshuis,20.33,3
bj haddin,20.5,10
bj hodge,32.0,10
bj mccarthy,9.7,10
bj mcmullen,28.7,10
bj patel,11.8,10
bj watling,8.7,10
bkg mendis,44.6,10
bl kotze,6.75,4
bl mooney,20.2,10
bm anusha,2.0,1
bm duckett,55.0,10
bm halliday,29.7,10
bm scholtz,7.6,10
bm tickner,2.67,6
bm wheeler,14.5,4
bmaj mendis,9.3,10
bmsm kumari,9.2,10
bn cooper,16.44,9
bo van rooi,8.67,3
bop fernando,18.5,8
bp kruger,8.0,1
bp loots,5.0,3
bp nash,10.5,2
br dorey,2.0,1
br mcdermott,44.6,5
brm taylor,37.9,10
bt foakes,61.0,1
btj wheal,7.83,6
bv sears,5.5,2
bv vitori,6.0,10
bw hilfenhaus,3.22,9
bya mendis,18.38,8
c abel,3.0,6
c bosch,24.0,3
c brits,41.71,7
c campher,36.6,10
c carmichael,32.0,2
c carter,13.88,8
c cassell,4.0,1
c chatonzwa,9.75,4
c connolly,3.33,3
c de grandhomme,14.4,10
c de lange,10.1,10
c floyd,3.0,4
c green,40.3,10
c hemraj,13.67,6
c jonker,15.5,2
c karunaratne,15.7,10
c kieswetter,23.6,10
c madande,24.5,10
c mcauslan,17.5,2
c munro,18.1,10
c murray,5.7,10
c overton,13.6,5
c prasad,6.0,1
c prathyusha,2.0,1
c raack,1.0,1
c sakariya,0.0,1
c sutthiruang,12.9,10
c tear,29.7,10
c viljoen,9.5,2
c white,19.75,4
c wickramasinghe,19.33,3
c zhuwao,19.25,8
ca henry,28.5,10
ca ingram,13.5,10
ca lynn,18.75,4
ca pujara,10.2,5
ca reid,4.0,2
ca soper,6.1,10
ca young,9.5,10
cah stevenson,8.0,10
cak rajitha,7.7,10
cak walton,6.62,8
cb lambert,39.0,1
cb mpofu,2.2,10
cb sole,6.2,10
cb wishart,11.6,10
cbrls kumara,4.1,10
cc dalton,18.0,1
cd collymore,3.2,10
cd cumming,7.0,6
cd de lange,13.0,5
cd mcmillan,34.5,10
cd wallace,23.2,10
ce coulter reilly,18.89,9
ce dean,19.0,10
ce mcconchie,25.2,5
cg williams,19.4,10
ch gayle,32.2,10
ch morris,17.5,10
ch van koolwijk,8.33,3
chirag suri,22.7,10
cj anderson,12.0,10
cj bowes,16.5,6
cj chibhabha,13.7,10
cj dala,4.0,2
cj ferguson,15.9,10
cj jordan,6.9,10
cj mckay,8.5,10
cj metcalfe,3.5,6
cj nevin,11.86,7
cj smith,5.4,5
cja amini,15.7,10
cjo smith,17.44,9
ck coventry,17.5,10
ck holder,0.0,1
ck hooper,2.0,2
ck kapugedera,17.4,10
ck kruger,1.5,2
ck langeveldt,5.6,10
ck tshuma,0.0,1
ckb kulasekara,12.67,3
cl cairns,23.8,10
cl hooper,18.6,5
cl tryon,31.7,10
cl white,10.3,10
cm beggs,1.0,1
cm edwards,35.4,10
cm mcbride,22.8,10
cm wright,13.5,6
cma shillington,19.89,9
cmg atkins,58.5,2
cmw read,10.2,10
cn ackermann,17.9,10
cn greaves,17.0,10
cn nation,14.6,10
cnim joyce,25.33,9
co browne,18.0,8
co obuya,36.8,10
cp jack,17.0,1
cp rizwan,18.4,10
cp tremain,7.67,3
cr brathwaite,22.2,10
cr ervine,29.8,10
cr foggo,6.0,1
cr pagydyala,68.67,3
cr seneviratna,14.78,9
cr woakes,16.3,10
crd fernando,3.8,10
cs baugh,18.2,10
cs fraser,8.1,10
cs macleod,58.6,10
cs martin,2.0,1
cs mugeri-tiripano,40.5,10
cs terblanche,19.0,2
ct dhururu,13.8,10
ct mumba,5.33,6
ct mutombodzi,13.56,9
ct tremlett,4.2,10
cw perchard,10.33,3
cz harris,8.2,10
d bau,16.25,8
d birrell,0.0,1
d bishoo,9.1,10
d brevis,15.5,4
d brown,4.0,1
d cleaver,32.0,1
d daesrath,31.0,1
d devnarain,12.5,10
d dhingra,32.11,9
d elgar,14.86,7
d foxcroft,0.0,1
d gamage,1.5,2
d ganga,21.71,7
d gough,10.7,10
d hazell,13.62,8
d hemalatha,12.12,8
d heyliger,12.2,10
d joseph,3.25,4
d keulder,22.0,6
d khanal,25.7,10
d la cock,16.8,10
d lakshan,2.0,1
d langford-smith,8.78,9
d lohia,3.67,3
d madushanka,4.0,9
d mohammed,0.0,1
d mongia,21.1,10
d murphy,4.5,2
d myers,19.71,7
d parashar,18.78,9
