venue,total_runs,total_innings,total_wkts,avg_runs,pace_wkts_pct,spin_wkts_pct,pitch_type
AMI Stadium,2104,73,0,28.82191780821918,0.5,0.5,spin
Adelaide Oval,14294,589,0,24.268251273344653,0.5,0.5,spin
Affies Park,311,18,0,17.27777777777778,0.5,0.5,spin
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),9154,527,0,17.37001897533207,0.5,0.5,spin
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),1937,93,0,20.827956989247312,0.5,0.5,spin
Allan Border Field,2854,126,0,22.650793650793652,0.5,0.5,spin
"Allan Border Field, Brisbane",1444,80,0,18.05,0.5,0.5,spin
"Amini Park, Port Moresby",2126,119,0,17.865546218487395,0.5,0.5,spin
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,491,14,0,35.07142857142857,0.5,0.5,batting
"Antigua Recreation Ground, St John's",626,40,0,15.65,0.5,0.5,spin
Arbab Niaz Stadium,1523,52,0,29.28846153846154,0.5,0.5,spin
Arnos Vale Ground,466,39,0,11.948717948717949,0.5,0.5,spin
"Arnos Vale Ground, Kingstown",2640,163,0,16.196319018404907,0.5,0.5,spin
"Arnos Vale Ground, Kingstown, St Vincent",315,17,0,18.529411764705884,0.5,0.5,spin
Arun Jaitley Stadium,915,41,0,22.317073170731707,0.5,0.5,spin
"Arun Jaitley Stadium, Delhi",1903,74,0,25.716216216216218,0.5,0.5,spin
Bangabandhu National Stadium,951,33,0,28.818181818181817,0.5,0.5,spin
"Bangabandhu National Stadium, Dhaka",629,37,0,17.0,0.5,0.5,spin
Barabati Stadium,3214,101,0,31.821782178217823,0.5,0.5,spin
"Barabati Stadium, Cuttack",1056,38,0,27.789473684210527,0.5,0.5,spin
Barsapara Cricket Stadium,626,14,0,44.714285714285715,0.5,0.5,batting
"Barsapara Cricket Stadium, Guwahati",661,19,0,34.78947368421053,0.5,0.5,batting
Basin Reserve,2288,93,0,24.602150537634408,0.5,0.5,spin
"Basin Reserve, Wellington",4127,189,0,21.835978835978835,0.5,0.5,spin
Bay Oval,7625,277,0,27.52707581227437,0.5,0.5,spin
"Bay Oval, Mount Maunganui",4103,211,0,19.445497630331754,0.5,0.5,spin
"Beausejour Stadium, Gros Islet",6907,280,0,24.667857142857144,0.5,0.5,spin
Bellerive Oval,9009,335,0,26.892537313432836,0.5,0.5,spin
"Bellerive Oval, Hobart",1003,36,0,27.86111111111111,0.5,0.5,spin
Bert Sutcliffe Oval,3044,110,0,27.672727272727272,0.5,0.5,spin
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,954,24,0,39.75,0.5,0.5,batting
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,973,45,0,21.622222222222224,0.5,0.5,spin
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2126,93,0,22.86021505376344,0.5,0.5,spin
